[null, null, null, null, null, null, null, null, null, null, null, null, 起居室, 使用面积, 不应小于, 10, m2]
[null, null, null, null, null, null, null, null, null, null, null, null, 卧室, 室内净高, 不应低于, 2.40, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 卧室, 局部净高, 不应低于, 2.10, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 起居室, 室内净高, 不应低于, 2.40, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 起居室, 局部净高, 不应低于, 2.10, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 厨房, 室内净高, 不应低于, 2.20, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 卫生间, 室内净高, 不应低于, 2.20, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 楼梯, 梯段净宽, 不应小于, 1.10, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 楼梯, 踏步宽度, 不应小于, 0.26, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 楼梯, 踏步高度, 不应大于, 0.175, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 楼梯, 平台净宽, 不得小于, 1.20, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 套型, 使用面积, 不应小于, 30, ㎡]
[null, null, null, null, null, null, null, null, null, null, null, null, 最小套型, 使用面积, 不应小于, 22, ㎡]
[null, null, null, null, null, null, null, null, null, null, null, null, 双人卧室, 使用面积, 不应小于, 9, ㎡]
[null, null, null, null, null, null, null, null, null, null, null, null, 单人卧室, 使用面积, 不应小于, 5, ㎡]
[null, null, null, null, null, null, null, null, null, null, null, null, 住宅, 层高, 为, 2.80, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 卧室, 室内净高, 不应低于, 2.40, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 起居室, 室内净高, 不应低于, 2.40, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 卧室, 局部净高, 不应低于, 2.10, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 起居室, 局部净高, 不应低于, 2.10, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 厨房, 室内净高, 不应低于, 2.20, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 卫生间, 室内净高, 不应低于, 2.20, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 入口过道, 净宽, 不宜小于, 1.20, m]
[null, null, null, null, null, null, null, null, null, null, null, null, 起居室, 使用面积, 不应小于, 10, ㎡]
[null, null, null, null, null, null, null, null, null, null, null, null, 楼梯, 踏步宽度, 不应小于, 0.22, m]
